Mod:Item:MetaData, Localized Name
appliedenergistics2:facade:0, Cable Facade - Yellow Terracotta
appliedenergistics2:facade:0, Cable Facade - Lime Terracotta
appliedenergistics2:facade:0, Cable Facade - Pink Terracotta
appliedenergistics2:facade:0, Cable Facade - Gray Terracotta
appliedenergistics2:facade:0, Cable Facade - Light Gray Terracotta
appliedenergistics2:facade:0, Cable Facade - Cyan Terracotta
appliedenergistics2:facade:0, Cable Facade - Purple Terracotta
appliedenergistics2:facade:0, Cable Facade - Blue Terracotta
appliedenergistics2:facade:0, Cable Facade - Brown Terracotta
appliedenergistics2:facade:0, Cable Facade - Green Terracotta
appliedenergistics2:facade:0, Cable Facade - Red Terracotta
appliedenergistics2:facade:0, Cable Facade - Black Terracotta
appliedenergistics2:facade:0, Cable Facade - Acacia Leaves
appliedenergistics2:facade:0, Cable Facade - Dark Oak Leaves
appliedenergistics2:facade:0, Cable Facade - Acacia Wood
appliedenergistics2:facade:0, Cable Facade - Dark Oak Wood
appliedenergistics2:facade:0, Cable Facade - Slime Block
appliedenergistics2:facade:0, Cable Facade - Prismarine
appliedenergistics2:facade:0, Cable Facade - Prismarine Bricks
appliedenergistics2:facade:0, Cable Facade - Dark Prismarine
appliedenergistics2:facade:0, Cable Facade - Sea Lantern
appliedenergistics2:facade:0, Cable Facade - Hay Bale
appliedenergistics2:facade:0, Cable Facade - Terracotta
appliedenergistics2:facade:0, Cable Facade - Block of Coal
appliedenergistics2:facade:0, Cable Facade - Packed Ice
appliedenergistics2:facade:0, Cable Facade - Red Sandstone
appliedenergistics2:facade:0, Cable Facade - Chiseled Red Sandstone
appliedenergistics2:facade:0, Cable Facade - Smooth Red Sandstone
appliedenergistics2:facade:0, Cable Facade - Purpur Block
appliedenergistics2:facade:0, Cable Facade - Purpur Pillar
appliedenergistics2:facade:0, Cable Facade - End Stone Bricks
appliedenergistics2:facade:0, Cable Facade - Magma Block
appliedenergistics2:facade:0, Cable Facade - Nether Wart Block
appliedenergistics2:facade:0, Cable Facade - Red Nether Brick
appliedenergistics2:facade:0, Cable Facade - Bone Block
appliedenergistics2:facade:0, Cable Facade - Observer
appliedenergistics2:facade:0, Cable Facade - White Glazed Terracotta
appliedenergistics2:facade:0, Cable Facade - Orange Glazed Terracotta
appliedenergistics2:facade:0, Cable Facade - Magenta Glazed Terracotta
appliedenergistics2:facade:0, Cable Facade - Light Blue Glazed Terracotta
appliedenergistics2:facade:0, Cable Facade - Yellow Glazed Terracotta
appliedenergistics2:facade:0, Cable Facade - Lime Glazed Terracotta
appliedenergistics2:facade:0, Cable Facade - Pink Glazed Terracotta
appliedenergistics2:facade:0, Cable Facade - Gray Glazed Terracotta
appliedenergistics2:facade:0, Cable Facade - Light Gray Glazed Terracotta
appliedenergistics2:facade:0, Cable Facade - Cyan Glazed Terracotta
appliedenergistics2:facade:0, Cable Facade - Purple Glazed Terracotta
appliedenergistics2:facade:0, Cable Facade - Blue Glazed Terracotta
appliedenergistics2:facade:0, Cable Facade - Brown Glazed Terracotta
appliedenergistics2:facade:0, Cable Facade - Green Glazed Terracotta
appliedenergistics2:facade:0, Cable Facade - Red Glazed Terracotta
appliedenergistics2:facade:0, Cable Facade - Black Glazed Terracotta
appliedenergistics2:facade:0, Cable Facade - White Concrete
appliedenergistics2:facade:0, Cable Facade - Orange Concrete
appliedenergistics2:facade:0, Cable Facade - Magenta Concrete
appliedenergistics2:facade:0, Cable Facade - Light Blue Concrete
appliedenergistics2:facade:0, Cable Facade - Yellow Concrete
appliedenergistics2:facade:0, Cable Facade - Lime Concrete
appliedenergistics2:facade:0, Cable Facade - Pink Concrete
appliedenergistics2:facade:0, Cable Facade - Gray Concrete
appliedenergistics2:facade:0, Cable Facade - Light Gray Concrete
appliedenergistics2:facade:0, Cable Facade - Cyan Concrete
appliedenergistics2:facade:0, Cable Facade - Purple Concrete
appliedenergistics2:facade:0, Cable Facade - Blue Concrete
appliedenergistics2:facade:0, Cable Facade - Brown Concrete
appliedenergistics2:facade:0, Cable Facade - Green Concrete
appliedenergistics2:facade:0, Cable Facade - Red Concrete
appliedenergistics2:facade:0, Cable Facade - Black Concrete
appliedenergistics2:facade:0, Cable Facade - White Concrete Powder
appliedenergistics2:facade:0, Cable Facade - Orange Concrete Powder
appliedenergistics2:facade:0, Cable Facade - Magenta Concrete Powder
appliedenergistics2:facade:0, Cable Facade - Light Blue Concrete Powder
appliedenergistics2:facade:0, Cable Facade - Yellow Concrete Powder
appliedenergistics2:facade:0, Cable Facade - Lime Concrete Powder
appliedenergistics2:facade:0, Cable Facade - Pink Concrete Powder
appliedenergistics2:facade:0, Cable Facade - Gray Concrete Powder
appliedenergistics2:facade:0, Cable Facade - Light Gray Concrete Powder
appliedenergistics2:facade:0, Cable Facade - Cyan Concrete Powder
appliedenergistics2:facade:0, Cable Facade - Purple Concrete Powder
appliedenergistics2:facade:0, Cable Facade - Blue Concrete Powder
appliedenergistics2:facade:0, Cable Facade - Brown Concrete Powder
appliedenergistics2:facade:0, Cable Facade - Green Concrete Powder
appliedenergistics2:facade:0, Cable Facade - Red Concrete Powder
appliedenergistics2:facade:0, Cable Facade - Black Concrete Powder
appliedenergistics2:facade:0, Cable Facade - Magical Planks
appliedenergistics2:facade:0, Cable Facade - Magical Wood
appliedenergistics2:facade:0, Cable Facade - Diagonal Wood
appliedenergistics2:facade:0, Cable Facade - Angel Block
appliedenergistics2:facade:0, Cable Facade - Cursed Earth
appliedenergistics2:facade:0, Cable Facade - Redstone Clock
appliedenergistics2:facade:0, Cable Facade - Compressed Cobblestone
appliedenergistics2:facade:0, Cable Facade - Double Compressed Cobblestone
appliedenergistics2:facade:0, Cable Facade - Triple Compressed Cobblestone
appliedenergistics2:facade:0, Cable Facade - Quadruple Compressed Cobblestone
appliedenergistics2:facade:0, Cable Facade - Quintuple Compressed Cobblestone
appliedenergistics2:facade:0, Cable Facade - Sextuple Compressed Cobblestone
appliedenergistics2:facade:0, Cable Facade - Septuple Compressed Cobblestone
appliedenergistics2:facade:0, Cable Facade - Octuple Compressed Cobblestone
appliedenergistics2:facade:0, Cable Facade - Compressed Dirt
appliedenergistics2:facade:0, Cable Facade - Double Compressed Dirt
appliedenergistics2:facade:0, Cable Facade - Triple Compressed Dirt
appliedenergistics2:facade:0, Cable Facade - Quadruple Compressed Dirt
appliedenergistics2:facade:0, Cable Facade - Compressed Sand
appliedenergistics2:facade:0, Cable Facade - Double Compressed Sand
appliedenergistics2:facade:0, Cable Facade - Compressed Gravel
appliedenergistics2:facade:0, Cable Facade - Double Compressed Gravel
appliedenergistics2:facade:0, Cable Facade - Compressed Netherrack
appliedenergistics2:facade:0, Cable Facade - Double Compressed Netherrack
appliedenergistics2:facade:0, Cable Facade - Triple Compressed Netherrack
appliedenergistics2:facade:0, Cable Facade - Quadruple Compressed Netherrack
appliedenergistics2:facade:0, Cable Facade - Quintuple Compressed Netherrack
appliedenergistics2:facade:0, Cable Facade - Sextuple Compressed Netherrack
appliedenergistics2:facade:0, Cable Facade - Border Stone
appliedenergistics2:facade:0, Cable Facade - Crossed Stone
appliedenergistics2:facade:0, Cable Facade - Polished Stone
appliedenergistics2:facade:0, Cable Facade - Stoneburnt
appliedenergistics2:facade:0, Cable Facade - Sandy Glass
appliedenergistics2:facade:0, Cable Facade - Truchet
appliedenergistics2:facade:0, Cable Facade - Blue Quartz
appliedenergistics2:facade:0, Cable Facade - Quartzburnt
appliedenergistics2:facade:0, Cable Facade - Rainbow Stone
appliedenergistics2:facade:0, Cable Facade - Thickened Glass
appliedenergistics2:facade:0, Cable Facade - Thickened Glass (Bordered)
appliedenergistics2:facade:0, Cable Facade - Thickened Glass (Patterned)
appliedenergistics2:facade:0, Cable Facade - Dark Glass
appliedenergistics2:facade:0, Cable Facade - Glowing Glass
appliedenergistics2:facade:0, Cable Facade - Redstone Glass
appliedenergistics2:facade:0, Cable Facade - Block of Enchanted Metal
appliedenergistics2:facade:0, Cable Facade - Block of Demon Metal
appliedenergistics2:facade:0, Cable Facade - Block of Evil Infused Iron
appliedenergistics2:facade:0, Cable Facade - Bedrock Bricks
appliedenergistics2:facade:0, Cable Facade - Bedrock Slabs
appliedenergistics2:facade:0, Cable Facade - Bedrock Cobblestone
appliedenergistics2:facade:0, Cable Facade - Ferrous-Juniper Log
appliedenergistics2:facade:0, Cable Facade - Ferrous-Juniper Log
appliedenergistics2:facade:0, Cable Facade - Ferrous-Juniper Planks
appliedenergistics2:facade:0, Cable Facade - Raw Ferrous-Juniper Planks
appliedenergistics2:facade:0, Cable Facade - Alien Ship Booster
appliedenergistics2:facade:0, Cable Facade - Alien Ship Decoration
appliedenergistics2:facade:0, Cable Facade - Alien Ship Decoration
appliedenergistics2:facade:0, Cable Facade - Polished Tin Decoration Block
appliedenergistics2:facade:0, Cable Facade - Polished Aluminum Decoration Block
appliedenergistics2:facade:0, Cable Facade - Desh Frame
appliedenergistics2:facade:0, Cable Facade - Dungeon Glowstone
appliedenergistics2:facade:0, Cable Facade - Fronos Grass Block
appliedenergistics2:facade:0, Cable Facade - Fronos Dirt
appliedenergistics2:facade:0, Cable Facade - Fronos Coarse Dirt
appliedenergistics2:facade:0, Cable Facade - Fronos Stone
appliedenergistics2:facade:0, Cable Facade - Fronos Cobblestone
appliedenergistics2:facade:0, Cable Facade - Fronos Stone Bricks
appliedenergistics2:facade:0, Cable Facade - Fronos Mossy Stone Bricks
appliedenergistics2:facade:0, Cable Facade - Fronos Cracked Stone Bricks
appliedenergistics2:facade:0, Cable Facade - Fronos Chiseled Stone Bricks
appliedenergistics2:facade:0, Cable Facade - Fronos Dungeon Brick
appliedenergistics2:facade:0, Cable Facade - Iron Ore
appliedenergistics2:facade:0, Cable Facade - Gold Ore
appliedenergistics2:facade:0, Cable Facade - Tin Ore
appliedenergistics2:facade:0, Cable Facade - Copper Ore
appliedenergistics2:facade:0, Cable Facade - Aluminum Ore
appliedenergistics2:facade:0, Cable Facade - Lead Ore
appliedenergistics2:facade:0, Cable Facade - Coal Ore
appliedenergistics2:facade:0, Cable Facade - Lapis Ore
appliedenergistics2:facade:0, Cable Facade - Diamond Ore
appliedenergistics2:facade:0, Cable Facade - Emerald Ore
appliedenergistics2:facade:0, Cable Facade - Redstone Ore
appliedenergistics2:facade:0, Cable Facade - Silicon Ore
appliedenergistics2:facade:0, Cable Facade - Quartz Ore
appliedenergistics2:facade:0, Cable Facade - Extrailonite Ore
appliedenergistics2:facade:0, Cable Facade - Red Candy Cane
appliedenergistics2:facade:0, Cable Facade - Green Candy Cane
appliedenergistics2:facade:0, Cable Facade - Blue Candy Cane
appliedenergistics2:facade:0, Cable Facade - Orange Candy Cane
appliedenergistics2:facade:0, Cable Facade - Pink Candy Cane
appliedenergistics2:facade:0, Cable Facade - Yellow Candy Cane
appliedenergistics2:facade:0, Cable Facade - Purple Candy Cane
appliedenergistics2:facade:0, Cable Facade - Rainbow Candy Cane
appliedenergistics2:facade:0, Cable Facade - Diona Surface Rock
appliedenergistics2:facade:0, Cable Facade - Diona Sub-Surface Rock
appliedenergistics2:facade:0, Cable Facade - Diona Rock
appliedenergistics2:facade:0, Cable Facade - Diona Cobblestone
appliedenergistics2:facade:0, Cable Facade - Setrorium Ore
appliedenergistics2:facade:0, Cable Facade - Illenium Ore
appliedenergistics2:facade:0, Cable Facade - Tin Ore
appliedenergistics2:facade:0, Cable Facade - Copper Ore
appliedenergistics2:facade:0, Cable Facade - Aluminum Ore
appliedenergistics2:facade:0, Cable Facade - Block of Setrorium
appliedenergistics2:facade:0, Cable Facade - Block of Illenium
appliedenergistics2:facade:0, Cable Facade - Diona Dungeon Brick
appliedenergistics2:facade:0, Cable Facade - Albetius Worm Egg Rock
appliedenergistics2:facade:0, Cable Facade - Infected Purlonite Planks
appliedenergistics2:facade:0, Cable Facade - Alien Miner Blood
appliedenergistics2:facade:0, Cable Facade - Infected Purlonite Slime Block
appliedenergistics2:facade:0, Cable Facade - Block of Glowing Iron
appliedenergistics2:facade:0, Cable Facade - Koentus Regolith
appliedenergistics2:facade:0, Cable Facade - Koentus Fine Regolith
appliedenergistics2:facade:0, Cable Facade - Koentus Rock
appliedenergistics2:facade:0, Cable Facade - Koentus Cobblestone
appliedenergistics2:facade:0, Cable Facade - Anti Gravity Ore
appliedenergistics2:facade:0, Cable Facade - Goldenite Crystals Ore
appliedenergistics2:facade:0, Cable Facade - Tin Ore
appliedenergistics2:facade:0, Cable Facade - Copper Ore
appliedenergistics2:facade:0, Cable Facade - Aluminum Ore
appliedenergistics2:facade:0, Cable Facade - Iron Ore
appliedenergistics2:facade:0, Cable Facade - Block of Anti Gravity Fragments
appliedenergistics2:facade:0, Cable Facade - Block of Goldenite Crystals
appliedenergistics2:facade:0, Cable Facade - Koentus Dungeon Brick
appliedenergistics2:facade:0, Cable Facade - Koentus Ice
appliedenergistics2:facade:0, Cable Facade - White Glowing Hardened Ice
appliedenergistics2:facade:0, Cable Facade - Orange Glowing Hardened Ice
appliedenergistics2:facade:0, Cable Facade - Magenta Glowing Hardened Ice
appliedenergistics2:facade:0, Cable Facade - Light Blue Glowing Hardened Ice
appliedenergistics2:facade:0, Cable Facade - Yellow Glowing Hardened Ice
appliedenergistics2:facade:0, Cable Facade - Lime Glowing Hardened Ice
appliedenergistics2:facade:0, Cable Facade - Pink Glowing Hardened Ice
appliedenergistics2:facade:0, Cable Facade - Gray Glowing Hardened Ice
appliedenergistics2:facade:0, Cable Facade - Silver Glowing Hardened Ice
appliedenergistics2:facade:0, Cable Facade - Cyan Glowing Hardened Ice
appliedenergistics2:facade:0, Cable Facade - Purple Glowing Hardened Ice
appliedenergistics2:facade:0, Cable Facade - Blue Glowing Hardened Ice
appliedenergistics2:facade:0, Cable Facade - Brown Glowing Hardened Ice
appliedenergistics2:facade:0, Cable Facade - Green Glowing Hardened Ice
appliedenergistics2:facade:0, Cable Facade - Red Glowing Hardened Ice
appliedenergistics2:facade:0, Cable Facade - Black Glowing Hardened Ice
appliedenergistics2:facade:0, Cable Facade - Creep Block
appliedenergistics2:facade:0, Cable Facade - Gravity Creep Block
appliedenergistics2:facade:0, Cable Facade - Chalos Rock
appliedenergistics2:facade:0, Cable Facade - Chalos Cobblestone
appliedenergistics2:facade:0, Cable Facade - Diremsium Ore
appliedenergistics2:facade:0, Cable Facade - Zyptorium Ore
appliedenergistics2:facade:0, Cable Facade - Cheese Milk Ore
appliedenergistics2:facade:0, Cable Facade - Iron Ore
appliedenergistics2:facade:0, Cable Facade - Tin Ore
appliedenergistics2:facade:0, Cable Facade - Copper Ore
appliedenergistics2:facade:0, Cable Facade - Aluminum Ore
appliedenergistics2:facade:0, Cable Facade - Block of Diremsium
appliedenergistics2:facade:0, Cable Facade - Block of Zyptorium
appliedenergistics2:facade:0, Cable Facade - Chalos Dungeon Brick
appliedenergistics2:facade:0, Cable Facade - Cheese Grass Block
appliedenergistics2:facade:0, Cable Facade - Cheese Dirt
appliedenergistics2:facade:0, Cable Facade - Cheese Coarse Dirt
appliedenergistics2:facade:0, Cable Facade - Cheese Spore Stem
appliedenergistics2:facade:0, Cable Facade - Cheese Spore
appliedenergistics2:facade:0, Cable Facade - Cheese Spore Planks
appliedenergistics2:facade:0, Cable Facade - Cheese Slime Block
appliedenergistics2:facade:0, Cable Facade - Cheese Spore Crafting Table
appliedenergistics2:facade:0, Cable Facade - Infected Grass Block
appliedenergistics2:facade:0, Cable Facade - Infected Dirt
appliedenergistics2:facade:0, Cable Facade - Infected Coarse Dirt
appliedenergistics2:facade:0, Cable Facade - Infected Podzol
appliedenergistics2:facade:0, Cable Facade - Nibiru Rock
appliedenergistics2:facade:0, Cable Facade - Nibiru Cobblestone
appliedenergistics2:facade:0, Cable Facade - Nibiru Vein Cobblestone
appliedenergistics2:facade:0, Cable Facade - Infected Stone Bricks
appliedenergistics2:facade:0, Cable Facade - Infected Vein Stone Bricks
appliedenergistics2:facade:0, Cable Facade - Cracked Infected Stone Bricks
appliedenergistics2:facade:0, Cable Facade - Chiseled Infected Stone Bricks
appliedenergistics2:facade:0, Cable Facade - Block of Inferumite
appliedenergistics2:facade:0, Cable Facade - Nibiru Dungeon Brick
appliedenergistics2:facade:0, Cable Facade - Mossy Nibiru Dungeon Brick
appliedenergistics2:facade:0, Cable Facade - Infected Sandstone
appliedenergistics2:facade:0, Cable Facade - Infected Chiseled Sandstone
appliedenergistics2:facade:0, Cable Facade - Infected Cut Sandstone
appliedenergistics2:facade:0, Cable Facade - Infested Nibiru Rock
appliedenergistics2:facade:0, Cable Facade - Infested Nibiru Cobblestone
appliedenergistics2:facade:0, Cable Facade - Infested Nibiru Vein Cobblestone
appliedenergistics2:facade:0, Cable Facade - Infested Infected Stone Bricks
appliedenergistics2:facade:0, Cable Facade - Infested Infected Vein Stone Bricks
appliedenergistics2:facade:0, Cable Facade - Infested Cracked Infected Stone Bricks
appliedenergistics2:facade:0, Cable Facade - Infested Chiseled Infected Stone Bricks
appliedenergistics2:facade:0, Cable Facade - Infected Iron Ore
appliedenergistics2:facade:0, Cable Facade - Infected Gold Ore
appliedenergistics2:facade:0, Cable Facade - Infected Tin Ore
appliedenergistics2:facade:0, Cable Facade - Infected Copper Ore
appliedenergistics2:facade:0, Cable Facade - Infected Aluminum Ore
appliedenergistics2:facade:0, Cable Facade - Infected Coal Ore
appliedenergistics2:facade:0, Cable Facade - Infected Lapis Ore
appliedenergistics2:facade:0, Cable Facade - Infected Diamond Ore
appliedenergistics2:facade:0, Cable Facade - Infected Emerald Ore
appliedenergistics2:facade:0, Cable Facade - Infected Redstone Ore
appliedenergistics2:facade:0, Cable Facade - Infected Silicon Ore
appliedenergistics2:facade:0, Cable Facade - Inferumite Crystal Ore
appliedenergistics2:facade:0, Cable Facade - Infected Oak Log
appliedenergistics2:facade:0, Cable Facade - Infected Deadwood Log
appliedenergistics2:facade:0, Cable Facade - Infected Spruce Log
appliedenergistics2:facade:0, Cable Facade - Infected Jungle Log
appliedenergistics2:facade:0, Cable Facade - Alien Berry Oak Log
appliedenergistics2:facade:0, Cable Facade - Oscalea Log
appliedenergistics2:facade:0, Cable Facade - Frolia Log
appliedenergistics2:facade:0, Cable Facade - Oscalea Planks
appliedenergistics2:facade:0, Cable Facade - Frolia Planks
appliedenergistics2:facade:0, Cable Facade - Infected Oak Planks
appliedenergistics2:facade:0, Cable Facade - Infected Spruce Planks
appliedenergistics2:facade:0, Cable Facade - Alien Berry Oak Planks
appliedenergistics2:facade:0, Cable Facade - Infected Oak Leaves
appliedenergistics2:facade:0, Cable Facade - Infected Spruce Leaves
appliedenergistics2:facade:0, Cable Facade - Infected Jungle Leaves
appliedenergistics2:facade:0, Cable Facade - Alien Berry Oak Leaves
appliedenergistics2:facade:0, Cable Facade - Oscalea Leaves
appliedenergistics2:facade:0, Cable Facade - Frolia Leaves
appliedenergistics2:facade:0, Cable Facade - Flowering Frolia Leaves
appliedenergistics2:facade:0, Cable Facade - Infected Crafting Table
appliedenergistics2:facade:0, Cable Facade - Alien Berry Crafting Table
appliedenergistics2:facade:0, Cable Facade - Infected Oak Bookshelf
appliedenergistics2:facade:0, Cable Facade - Alien Berry Oak Bookshelf
appliedenergistics2:facade:0, Cable Facade - Infected Sand
appliedenergistics2:facade:0, Cable Facade - Infected Snow
appliedenergistics2:facade:0, Cable Facade - Purified Snow
appliedenergistics2:facade:0, Cable Facade - Infected Ice
appliedenergistics2:facade:0, Cable Facade - Infected Packed Ice
appliedenergistics2:facade:0, Cable Facade - Green Vein Grass Block
appliedenergistics2:facade:0, Cable Facade - Infected Melon
appliedenergistics2:facade:0, Cable Facade - Infected Gravel
appliedenergistics2:facade:0, Cable Facade - Infected Clay
appliedenergistics2:facade:0, Cable Facade - Infected Prismarine
appliedenergistics2:facade:0, Cable Facade - Infected Prismarine Bricks
appliedenergistics2:facade:0, Cable Facade - Infected Dark Prismarine
appliedenergistics2:facade:0, Cable Facade - Infected Sea Lantern
appliedenergistics2:facade:0, Cable Facade - Infected Sponge
appliedenergistics2:facade:0, Cable Facade - Infected Wet Sponge
appliedenergistics2:facade:0, Cable Facade - Oil Ore
appliedenergistics2:facade:0, Cable Facade - Block of Multalic Crystal
appliedenergistics2:facade:0, Cable Facade - Terrastone
appliedenergistics2:facade:0, Cable Facade - Purified Gravel
appliedenergistics2:facade:0, Cable Facade - Terrashroom Block
appliedenergistics2:facade:0, Cable Facade - Copper Ore
appliedenergistics2:facade:0, Cable Facade - Tin Ore
appliedenergistics2:facade:0, Cable Facade - Silver Ore
appliedenergistics2:facade:0, Cable Facade - Lead Ore
appliedenergistics2:facade:0, Cable Facade - Aluminum Ore
appliedenergistics2:facade:0, Cable Facade - Nickel Ore
appliedenergistics2:facade:0, Cable Facade - Platinum Ore
appliedenergistics2:facade:0, Cable Facade - Iridium Ore
appliedenergistics2:facade:0, Cable Facade - Mana Infused Ore
appliedenergistics2:facade:0, Cable Facade - Oil Sand
appliedenergistics2:facade:0, Cable Facade - Oil Shale
appliedenergistics2:facade:0, Cable Facade - Destabilized Redstone Ore
appliedenergistics2:facade:0, Cable Facade - Energized Netherrack
appliedenergistics2:facade:0, Cable Facade - Resonant End Stone
appliedenergistics2:facade:0, Cable Facade - Oil Sand
appliedenergistics2:facade:0, Cable Facade - Block of Copper
appliedenergistics2:facade:0, Cable Facade - Block of Tin
appliedenergistics2:facade:0, Cable Facade - Block of Silver
appliedenergistics2:facade:0, Cable Facade - Block of Lead
appliedenergistics2:facade:0, Cable Facade - Block of Aluminum
appliedenergistics2:facade:0, Cable Facade - Block of Nickel
appliedenergistics2:facade:0, Cable Facade - Block of Platinum
appliedenergistics2:facade:0, Cable Facade - Block of Iridium
appliedenergistics2:facade:0, Cable Facade - Block of Mana Infused Metal
appliedenergistics2:facade:0, Cable Facade - Block of Steel
appliedenergistics2:facade:0, Cable Facade - Block of Electrum
appliedenergistics2:facade:0, Cable Facade - Block of Invar
appliedenergistics2:facade:0, Cable Facade - Block of Bronze
appliedenergistics2:facade:0, Cable Facade - Block of Constantan
appliedenergistics2:facade:0, Cable Facade - Block of Signalum
appliedenergistics2:facade:0, Cable Facade - Block of Lumium
appliedenergistics2:facade:0, Cable Facade - Block of Enderium
appliedenergistics2:facade:0, Cable Facade - Block of Charcoal
appliedenergistics2:facade:0, Cable Facade - Block of Coal Coke
appliedenergistics2:facade:0, Cable Facade - Black Rockwool
appliedenergistics2:facade:0, Cable Facade - Red Rockwool
appliedenergistics2:facade:0, Cable Facade - Green Rockwool
appliedenergistics2:facade:0, Cable Facade - Brown Rockwool
appliedenergistics2:facade:0, Cable Facade - Blue Rockwool
appliedenergistics2:facade:0, Cable Facade - Purple Rockwool
appliedenergistics2:facade:0, Cable Facade - Cyan Rockwool
appliedenergistics2:facade:0, Cable Facade - Light Gray Rockwool
appliedenergistics2:facade:0, Cable Facade - Gray Rockwool
appliedenergistics2:facade:0, Cable Facade - Pink Rockwool
appliedenergistics2:facade:0, Cable Facade - Lime Rockwool
appliedenergistics2:facade:0, Cable Facade - Yellow Rockwool
appliedenergistics2:facade:0, Cable Facade - Light Blue Rockwool
appliedenergistics2:facade:0, Cable Facade - Magenta Rockwool
appliedenergistics2:facade:0, Cable Facade - Orange Rockwool
appliedenergistics2:facade:0, Cable Facade - White Rockwool
appliedenergistics2:facade:0, Cable Facade - Certus Quartz Ore
appliedenergistics2:facade:0, Cable Facade - Charged Certus Quartz Ore
appliedenergistics2:facade:0, Cable Facade - Certus Quartz Block
appliedenergistics2:facade:0, Cable Facade - Certus Quartz Pillar
appliedenergistics2:facade:0, Cable Facade - Chiseled Certus Quartz Block
appliedenergistics2:facade:0, Cable Facade - Quartz Glass
appliedenergistics2:facade:0, Cable Facade - Vibrant Quartz Glass
appliedenergistics2:facade:0, Cable Facade - Fluix Block
appliedenergistics2:facade:0, Cable Facade - Sky Stone
appliedenergistics2:facade:0, Cable Facade - Sky Stone Block
appliedenergistics2:facade:0, Cable Facade - Sky Stone Brick
appliedenergistics2:facade:0, Cable Facade - Sky Stone Small Brick
appliedenergistics2:facade:0, Cable Facade - Tin Decoration Block
appliedenergistics2:facade:0, Cable Facade - Tin Wall Block
appliedenergistics2:facade:0, Cable Facade - Copper Ore
appliedenergistics2:facade:0, Cable Facade - Tin Ore
appliedenergistics2:facade:0, Cable Facade - Aluminum Ore
appliedenergistics2:facade:0, Cable Facade - Silicon Ore
appliedenergistics2:facade:0, Cable Facade - Copper Block
appliedenergistics2:facade:0, Cable Facade - Block of Tin
appliedenergistics2:facade:0, Cable Facade - Aluminum Block
appliedenergistics2:facade:0, Cable Facade - Solid Meteoric Iron
appliedenergistics2:facade:0, Cable Facade - Silicon Block
appliedenergistics2:facade:0, Cable Facade - Copper Ore
appliedenergistics2:facade:0, Cable Facade - Tin Ore
appliedenergistics2:facade:0, Cable Facade - Cheese Ore
appliedenergistics2:facade:0, Cable Facade - Moon Dirt
appliedenergistics2:facade:0, Cable Facade - Moon Rock
appliedenergistics2:facade:0, Cable Facade - Moon Turf
appliedenergistics2:facade:0, Cable Facade - Sapphire Ore
appliedenergistics2:facade:0, Cable Facade - Moon Dungeon Brick
appliedenergistics2:facade:0, Cable Facade - tile.slab_gc_double.tin_slab_1.name
appliedenergistics2:facade:0, Cable Facade - tile.slab_gc_double.tin_slab_2.name
appliedenergistics2:facade:0, Cable Facade - tile.slab_gc_double.moon_slab.name
appliedenergistics2:facade:0, Cable Facade - tile.slab_gc_double.moon_bricks_slab.name
appliedenergistics2:facade:0, Cable Facade - tile.slab_gc_double.mars_slab.name
appliedenergistics2:facade:0, Cable Facade - tile.slab_gc_double.mars_bricks_slab.name
appliedenergistics2:facade:0, Cable Facade - tile.slab_gc_double.asteroids_slab.name
appliedenergistics2:facade:0, Cable Facade - Hidden Redstone Wire
appliedenergistics2:facade:0, Cable Facade - tile.concealed_repeater_pow.name
appliedenergistics2:facade:0, Cable Facade - Hidden Redstone Repeater
appliedenergistics2:facade:0, Cable Facade - Copper Ore
appliedenergistics2:facade:0, Cable Facade - Tin Ore
appliedenergistics2:facade:0, Cable Facade - Desh Ore
appliedenergistics2:facade:0, Cable Facade - Iron Ore
appliedenergistics2:facade:0, Cable Facade - Mars Cobblestone
appliedenergistics2:facade:0, Cable Facade - Mars Fine Regolith
appliedenergistics2:facade:0, Cable Facade - Mars Regolith
appliedenergistics2:facade:0, Cable Facade - Mars Dungeon Brick
appliedenergistics2:facade:0, Cable Facade - Block of Desh
appliedenergistics2:facade:0, Cable Facade - Mars Stone
appliedenergistics2:facade:0, Cable Facade - Asteroid Rock
appliedenergistics2:facade:0, Cable Facade - Asteroid Rock
appliedenergistics2:facade:0, Cable Facade - Asteroid Rock
appliedenergistics2:facade:0, Cable Facade - Aluminum Ore
appliedenergistics2:facade:0, Cable Facade - Ilmenite Ore
appliedenergistics2:facade:0, Cable Facade - Iron Ore
appliedenergistics2:facade:0, Cable Facade - Dark Decoration Block
appliedenergistics2:facade:0, Cable Facade - Titanium Block
appliedenergistics2:facade:0, Cable Facade - Dense Ice
appliedenergistics2:facade:0, Cable Facade - Venus Soft Rock
appliedenergistics2:facade:0, Cable Facade - Venus Hard Rock
appliedenergistics2:facade:0, Cable Facade - Venus Volcanic Rock
appliedenergistics2:facade:0, Cable Facade - Pumice
appliedenergistics2:facade:0, Cable Facade - Venus Dungeon Brick I
appliedenergistics2:facade:0, Cable Facade - Venus Dungeon Brick II
appliedenergistics2:facade:0, Cable Facade - Aluminum Ore
appliedenergistics2:facade:0, Cable Facade - Copper Ore
appliedenergistics2:facade:0, Cable Facade - Galena Ore
appliedenergistics2:facade:0, Cable Facade - Quartz Ore
appliedenergistics2:facade:0, Cable Facade - Silicon Ore
appliedenergistics2:facade:0, Cable Facade - Tin Ore
